epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,116.06,1.04915,0.92533,1,0.24326,0.000368875,0.000368875,0.000368875
2,153.079,0.44799,0.944,1,0.15795,0.00073189,0.00073189,0.00073189
3,188.307,0.36822,0.93333,1,0.20122,0.00108757,0.00108757,0.00108757
4,224.746,0.33195,0.96,1,0.12049,0.001078,0.001078,0.001078
5,260.198,0.29998,0.98133,1,0.06588,0.001067,0.001067,0.001067
6,295.343,0.22888,0.97867,1,0.06867,0.00105601,0.00105601,0.00105601
7,331.548,0.22705,0.97467,1,0.07472,0.00104501,0.00104501,0.00104501
8,365.832,0.21962,0.98933,1,0.05172,0.00103401,0.00103401,0.00103401
9,401.819,0.20432,0.99067,1,0.04513,0.00102301,0.00102301,0.00102301
10,435.942,0.20273,0.99067,1,0.05315,0.00101201,0.00101201,0.00101201
11,470.775,0.18834,0.96,1,0.11004,0.00100101,0.00100101,0.00100101
12,505.251,0.17874,0.99067,1,0.04282,0.000990012,0.000990012,0.000990012
13,541.937,0.17753,0.98267,1,0.07304,0.000979013,0.000979013,0.000979013
14,577.991,0.15813,0.98667,1,0.05481,0.000968014,0.000968014,0.000968014
15,612.918,0.17036,0.988,1,0.04693,0.000957015,0.000957015,0.000957015
16,648.881,0.16003,0.98533,1,0.06381,0.000946016,0.000946016,0.000946016
17,683.811,0.15129,0.99333,1,0.04705,0.000935018,0.000935018,0.000935018
18,720.725,0.14576,0.988,1,0.05535,0.000924019,0.000924019,0.000924019
19,755.938,0.1326,0.99067,1,0.03848,0.00091302,0.00091302,0.00091302
20,792.937,0.14581,0.992,1,0.02778,0.000902021,0.000902021,0.000902021
21,830.871,0.13177,0.992,1,0.03883,0.000891022,0.000891022,0.000891022
22,865.928,0.12548,0.98933,1,0.03386,0.000880023,0.000880023,0.000880023
23,902.44,0.13213,0.988,1,0.04031,0.000869024,0.000869024,0.000869024
24,938.073,0.12309,0.972,1,0.12028,0.000858025,0.000858025,0.000858025
25,973.543,0.10667,0.992,1,0.03987,0.000847026,0.000847026,0.000847026
26,1008.48,0.11608,0.98667,1,0.05688,0.000836027,0.000836027,0.000836027
27,1042.64,0.12138,0.988,1,0.05398,0.000825029,0.000825029,0.000825029
28,1078.18,0.11169,0.992,1,0.04066,0.00081403,0.00081403,0.00081403
29,1111.95,0.11531,0.98533,1,0.05043,0.000803031,0.000803031,0.000803031
30,1147.17,0.10075,0.98267,1,0.0672,0.000792032,0.000792032,0.000792032
31,1181.23,0.09861,0.98533,1,0.0607,0.000781033,0.000781033,0.000781033
32,1216.01,0.11063,0.98667,1,0.04255,0.000770034,0.000770034,0.000770034
33,1249.43,0.1027,0.99067,1,0.04396,0.000759035,0.000759035,0.000759035
34,1284.12,0.1112,0.976,1,0.07295,0.000748036,0.000748036,0.000748036
35,1317.88,0.10727,0.988,1,0.04382,0.000737037,0.000737037,0.000737037
36,1353.39,0.09811,0.988,1,0.03891,0.000726038,0.000726038,0.000726038
37,1387.82,0.10397,0.992,1,0.03201,0.00071504,0.00071504,0.00071504
38,1423.16,0.10128,0.98667,1,0.05479,0.000704041,0.000704041,0.000704041
39,1457.27,0.09541,0.992,1,0.03277,0.000693042,0.000693042,0.000693042
40,1492.53,0.10013,0.98533,1,0.05082,0.000682043,0.000682043,0.000682043
41,1526.38,0.09475,0.992,1,0.03942,0.000671044,0.000671044,0.000671044
42,1561.52,0.10492,0.98933,1,0.05082,0.000660045,0.000660045,0.000660045
43,1595.65,0.09836,0.992,1,0.04377,0.000649046,0.000649046,0.000649046
44,1630.98,0.10656,0.98667,1,0.04814,0.000638047,0.000638047,0.000638047
45,1664.84,0.09363,0.99067,1,0.04365,0.000627048,0.000627048,0.000627048
46,1700.99,0.09258,0.98933,1,0.04051,0.000616049,0.000616049,0.000616049
47,1734.94,0.07732,0.99067,1,0.04314,0.000605051,0.000605051,0.000605051
48,1770.25,0.07691,0.99067,1,0.04771,0.000594052,0.000594052,0.000594052
49,1803.92,0.08024,0.992,1,0.03226,0.000583053,0.000583053,0.000583053
50,1839.32,0.086,0.98667,1,0.04868,0.000572054,0.000572054,0.000572054
51,1873.14,0.08308,0.992,1,0.04115,0.000561055,0.000561055,0.000561055
52,1908.37,0.08143,0.988,1,0.03882,0.000550056,0.000550056,0.000550056
53,1942.65,0.08409,0.99067,1,0.04237,0.000539057,0.000539057,0.000539057
54,1978.08,0.09192,0.99333,1,0.03973,0.000528058,0.000528058,0.000528058
55,2012.39,0.08583,0.99333,1,0.03895,0.000517059,0.000517059,0.000517059
56,2047.67,0.07427,0.992,1,0.0548,0.00050606,0.00050606,0.00050606
57,2081.41,0.08533,0.99333,1,0.0303,0.000495062,0.000495062,0.000495062
58,2117.15,0.08199,0.99067,1,0.03056,0.000484063,0.000484063,0.000484063
59,2150.84,0.07394,0.99067,1,0.03659,0.000473064,0.000473064,0.000473064
60,2186.1,0.07925,0.99067,1,0.03967,0.000462065,0.000462065,0.000462065
61,2220.71,0.07298,0.992,1,0.03592,0.000451066,0.000451066,0.000451066
62,2255.65,0.06128,0.99067,1,0.03492,0.000440067,0.000440067,0.000440067
63,2289.75,0.06746,0.99067,1,0.03315,0.000429068,0.000429068,0.000429068
64,2325.2,0.06276,0.992,1,0.03212,0.000418069,0.000418069,0.000418069
65,2359.98,0.058,0.99067,1,0.03355,0.00040707,0.00040707,0.00040707
66,2394.8,0.06066,0.99333,1,0.0286,0.000396071,0.000396071,0.000396071
67,2429.76,0.06991,0.99067,1,0.03104,0.000385073,0.000385073,0.000385073
68,2464.06,0.07566,0.992,1,0.031,0.000374074,0.000374074,0.000374074
69,2499.1,0.07507,0.99333,1,0.03019,0.000363075,0.000363075,0.000363075
70,2533.11,0.06119,0.992,1,0.03362,0.000352076,0.000352076,0.000352076
71,2568.2,0.07438,0.992,1,0.03355,0.000341077,0.000341077,0.000341077
72,2602.11,0.06918,0.98933,1,0.03435,0.000330078,0.000330078,0.000330078
73,2636.26,0.05736,0.992,1,0.03377,0.000319079,0.000319079,0.000319079
74,2670.08,0.06171,0.992,1,0.03103,0.00030808,0.00030808,0.00030808
75,2703.27,0.06624,0.99067,1,0.0314,0.000297081,0.000297081,0.000297081
76,2737.74,0.05186,0.98933,1,0.0334,0.000286083,0.000286083,0.000286083
77,2771.38,0.06544,0.99067,1,0.03339,0.000275084,0.000275084,0.000275084
78,2806.53,0.06394,0.992,1,0.03981,0.000264085,0.000264085,0.000264085
79,2840.06,0.0596,0.992,1,0.05555,0.000253086,0.000253086,0.000253086
80,2874.98,0.06449,0.99067,1,0.03739,0.000242087,0.000242087,0.000242087
81,2908.74,0.05728,0.99067,1,0.03843,0.000231088,0.000231088,0.000231088
82,2944.52,0.05297,0.992,1,0.03471,0.000220089,0.000220089,0.000220089
83,2978.65,0.05122,0.99067,1,0.03827,0.00020909,0.00020909,0.00020909
84,3013.9,0.06647,0.98933,1,0.04467,0.000198091,0.000198091,0.000198091
85,3047.98,0.05896,0.99067,1,0.03682,0.000187092,0.000187092,0.000187092
86,3083.1,0.06778,0.99067,1,0.04041,0.000176094,0.000176094,0.000176094
87,3116.76,0.0541,0.99067,1,0.03842,0.000165095,0.000165095,0.000165095
88,3151.74,0.05226,0.99067,1,0.03546,0.000154096,0.000154096,0.000154096
89,3185.79,0.05013,0.99067,1,0.0324,0.000143097,0.000143097,0.000143097
90,3221.42,0.05343,0.992,1,0.03359,0.000132098,0.000132098,0.000132098
91,3257,0.04934,0.99067,1,0.03369,0.000121099,0.000121099,0.000121099
92,3291.72,0.05257,0.99067,1,0.0333,0.0001101,0.0001101,0.0001101
93,3326.35,0.05876,0.99067,1,0.03455,9.91012e-05,9.91012e-05,9.91012e-05
94,3360.98,0.05149,0.992,1,0.03558,8.81023e-05,8.81023e-05,8.81023e-05
95,3397.79,0.05594,0.99067,1,0.03491,7.71034e-05,7.71034e-05,7.71034e-05
96,3433.45,0.04517,0.99067,1,0.03378,6.61045e-05,6.61045e-05,6.61045e-05
97,3470.01,0.0532,0.99067,1,0.03258,5.51056e-05,5.51056e-05,5.51056e-05
98,3504.81,0.05378,0.99067,1,0.03211,4.41067e-05,4.41067e-05,4.41067e-05
99,3540.9,0.05497,0.99067,1,0.03203,3.31078e-05,3.31078e-05,3.31078e-05
100,3575.96,0.04528,0.98933,1,0.03426,2.21089e-05,2.21089e-05,2.21089e-05
